name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaNegative[94],0.029,0.0056,0.0082,0.015,0.032,0.038,2.1,5.9e-06,3.9
etaNegative[95],0.1,0.038,0.1,0.015,0.084,0.3,6.8,1.9e-05,1.2
etaNegative[96],0.04,0.011,0.027,0.015,0.034,0.092,6.2,1.7e-05,1.2
etaNegative[97],0.01,0.0023,0.005,0.0039,0.0087,0.016,4.6,1.3e-05,1.3
etaNegative[98],0.012,0.0016,0.0041,0.0056,0.012,0.017,6.9,1.9e-05,1.2
etaNegative[99],0.0059,0.0039,0.0056,0.0018,0.0029,0.016,2.0,5.6e-06,9.8
etaNegative[100],0.019,0.0015,0.0041,0.014,0.018,0.026,7.7,2.1e-05,1.2
etaNegative[101],0.014,0.00027,0.003,0.0094,0.015,0.019,118.0,0.00033,1.0
etaNegative[102],0.0073,0.0034,0.005,0.0025,0.0049,0.016,2.2,6.1e-06,3.2
etaNegative[103],0.0057,0.004,0.0057,0.0012,0.0027,0.016,2.1,5.7e-06,6.4
etaNegative[104],0.017,0.00077,0.0045,0.012,0.016,0.026,34.0,9.5e-05,1.0
etaNegative[105],0.014,0.00056,0.0026,0.0099,0.014,0.018,21.0,5.7e-05,1.1
etaNegative[106],0.011,0.0019,0.0031,0.0068,0.01,0.016,2.9,7.9e-06,1.8
etaNegative[107],0.14,0.052,0.089,0.015,0.15,0.28,3.0,8.3e-06,1.7
etaNegative[108],0.034,0.0069,0.036,0.01,0.02,0.11,28.0,7.6e-05,1.1
etaNegative[109],0.0071,0.0034,0.0051,0.0022,0.0047,0.016,2.2,6e-06,3.5
etaNegative[110],0.015,0.00011,0.0041,0.0091,0.015,0.023,1363.0,0.0038,1.0
etaNegative[111],0.0066,0.0036,0.0051,0.0026,0.004,0.016,2.0,5.6e-06,8.0
etaNegative[112],0.042,0.011,0.019,0.015,0.046,0.071,2.7,7.5e-06,1.9
etaNegative[113],0.005,0.0043,0.0062,0.00032,0.0015,0.016,2.1,5.8e-06,4.3
etaNegative[114],0.008,0.0031,0.0046,0.0032,0.006,0.016,2.2,6.1e-06,3.0
etaNegative[115],0.01,0.0023,0.0066,0.0042,0.0079,0.016,7.9,2.2e-05,1.2
etaNegative[116],0.0065,0.0037,0.0053,0.0018,0.0038,0.016,2.1,5.8e-06,4.7
etaNegative[117],0.021,0.00098,0.016,0.011,0.015,0.06,282.0,0.00078,1.0
etaNegative[118],0.033,0.0073,0.011,0.015,0.037,0.046,2.2,6.2e-06,3.0
etaNegative[119],0.0059,0.004,0.0066,0.00011,0.0024,0.016,2.7,7.4e-06,1.9
etaNegative[120],0.011,0.0018,0.0037,0.0061,0.011,0.016,4.5,1.3e-05,1.3
etaNegative[121],0.027,0.0049,0.013,0.015,0.023,0.054,7.7,2.1e-05,1.2
etaNegative[122],0.013,0.00094,0.0027,0.0087,0.014,0.017,8.4,2.3e-05,1.1
etaNegative[123],0.01,0.0022,0.0035,0.0057,0.009,0.016,2.5,7e-06,2.1
etaNegative[124],0.0077,0.0032,0.0047,0.0029,0.0055,0.016,2.2,6.1e-06,3.3
etaNegative[125],0.014,0.0006,0.015,0.0034,0.011,0.032,648.0,0.0018,1.0
etaNegative[126],0.023,0.0028,0.013,0.0096,0.016,0.051,24.0,6.6e-05,1.1
etaNegative[127],0.013,0.00095,0.0035,0.0079,0.013,0.019,14.0,3.8e-05,1.1
etaNegative[128],0.0088,0.0028,0.0052,0.0026,0.0072,0.016,3.4,9.4e-06,1.5
etaNegative[129],0.031,0.0068,0.014,0.015,0.03,0.057,4.2,1.2e-05,1.3
etaNegative[130],0.0075,0.0034,0.0078,0.00092,0.0032,0.017,5.2,1.4e-05,1.3
etaNegative[131],0.013,0.0011,0.0031,0.0078,0.013,0.017,7.8,2.2e-05,1.2
etaNegative[132],0.055,0.017,0.039,0.015,0.048,0.13,5.4,1.5e-05,1.3
etaNegative[133],0.014,0.00077,0.013,0.0044,0.012,0.023,279.0,0.00077,1.0
etaNegative[134],0.043,0.025,0.071,0.005,0.015,0.2,8.0,2.2e-05,1.4
etaNegative[135],0.013,0.0012,0.0037,0.0064,0.013,0.018,8.8,2.4e-05,1.1
etaNegative[136],0.022,0.0025,0.013,0.01,0.016,0.05,27.0,7.4e-05,1.1
etaNegative[137],0.0094,0.0025,0.0042,0.0039,0.0082,0.016,2.8,7.6e-06,1.8
etaNegative[138],0.065,0.021,0.043,0.015,0.061,0.14,4.1,1.1e-05,1.4
