name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaPositive[75],0.034,0.0064,0.012,0.0037,0.036,0.048,3.4,7.8e-06,2.0
etaPositive[76],0.017,0.0025,0.0039,0.0097,0.018,0.022,2.5,5.7e-06,2.2
etaPositive[77],0.041,0.0014,0.007,0.031,0.042,0.051,26.0,5.9e-05,1.1
etaPositive[78],0.014,4.9e-05,0.0016,0.011,0.014,0.017,1058.0,0.0024,1.0
etaPositive[79],0.031,0.0087,0.014,0.0071,0.034,0.05,2.6,5.9e-06,2.1
etaPositive[80],0.015,0.0006,0.0025,0.011,0.015,0.02,18.0,4.1e-05,1.1
etaPositive[81],0.0048,6.9e-05,0.0012,0.003,0.0047,0.0068,286.0,0.00066,1.0
etaPositive[82],0.033,0.0029,0.0077,0.017,0.034,0.045,7.3,1.7e-05,1.3
etaPositive[83],0.0085,0.0007,0.0027,0.0053,0.0079,0.015,15.0,3.4e-05,1.4
etaPositive[84],0.023,0.0012,0.0027,0.019,0.023,0.028,5.1,1.2e-05,1.3
etaPositive[85],0.0011,0.00017,0.00075,0.00018,0.00088,0.0025,20.0,4.5e-05,1.2
etaPositive[86],0.0038,0.001,0.0017,0.00088,0.0043,0.0061,2.5,5.9e-06,2.1
etaPositive[87],0.016,0.0028,0.0045,0.008,0.017,0.022,2.6,5.9e-06,2.2
etaPositive[88],0.014,0.00069,0.0021,0.011,0.014,0.018,9.1,2.1e-05,1.1
etaPositive[89],0.03,0.00088,0.0066,0.02,0.03,0.041,56.0,0.00013,1.0
etaPositive[90],0.0021,0.00012,0.00097,0.00068,0.0021,0.0038,68.0,0.00016,1.1
etaPositive[91],0.0036,0.00039,0.0026,0.00057,0.0032,0.0077,43.0,0.0001,1.1
etaPositive[92],0.048,0.014,0.025,0.0072,0.049,0.087,3.1,7.2e-06,1.6
etaPositive[93],0.0039,0.00071,0.0022,0.0013,0.0036,0.0082,9.3,2.1e-05,1.3
etaPositive[94],0.01,0.0015,0.0026,0.0065,0.0096,0.015,3.2,7.3e-06,1.6
etaPositive[95],0.008,0.00059,0.0018,0.0052,0.0078,0.011,9.3,2.1e-05,1.2
etaPositive[96],0.016,0.00047,0.0044,0.0099,0.016,0.024,90.0,0.00021,1.0
etaPositive[97],0.014,0.00031,0.0042,0.0071,0.015,0.021,178.0,0.00041,1.0
etaPositive[98],0.011,0.0018,0.0056,0.0031,0.0096,0.021,9.8,2.3e-05,1.1
etaPositive[99],0.0026,0.0003,0.0017,0.00043,0.0023,0.0056,30.0,6.8e-05,1.2
etaPositive[100],0.034,0.001,0.0078,0.021,0.033,0.047,59.0,0.00014,1.1
etaPositive[101],0.0052,0.00032,0.0011,0.0038,0.005,0.0076,11.0,2.5e-05,1.4
etaPositive[102],0.0017,0.00061,0.0014,0.00026,0.0013,0.0046,5.2,1.2e-05,1.5
etaPositive[103],0.0045,0.00078,0.0023,0.0015,0.004,0.0086,8.5,1.9e-05,1.2
etaPositive[104],0.024,0.0015,0.0036,0.017,0.024,0.029,5.6,1.3e-05,1.4
etaPositive[105],0.038,0.0023,0.0071,0.026,0.038,0.05,9.6,2.2e-05,1.2
etaPositive[106],0.0032,0.0022,0.0042,0.001,0.0016,0.015,3.6,8.4e-06,4.0
etaPositive[107],0.0084,0.00024,0.0029,0.0034,0.0086,0.013,148.0,0.00034,1.0
etaPositive[108],0.0059,4.4e-05,0.0011,0.0043,0.0058,0.0078,601.0,0.0014,1.0
etaPositive[109],0.015,0.00029,0.0022,0.011,0.015,0.018,58.0,0.00013,1.1
etaPositive[110],0.0098,0.00089,0.0026,0.0055,0.0098,0.014,8.8,2e-05,1.2
etaPositive[111],0.013,0.00076,0.0022,0.0088,0.012,0.016,8.5,2e-05,1.2
etaPositive[112],0.0086,0.00012,0.0019,0.0056,0.0086,0.012,256.0,0.00059,1.0
etaPositive[113],0.0049,9.5e-05,0.0015,0.0027,0.0048,0.0076,259.0,0.0006,1.0
