name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta_samp[55],-0.41,0.38,0.58,-1.4,-0.22,0.3,2.3,6e-06,2.7
beta_samp[56],0.73,0.25,0.44,0.12,0.63,1.4,3.2,8.3e-06,1.6
beta_samp[57],-0.13,0.4,0.57,-0.63,-0.41,0.88,2.1,5.4e-06,6.1
beta_samp[58],0.16,0.16,0.26,-0.34,0.22,0.5,2.6,6.9e-06,2.2
beta_samp[59],-0.8,0.33,0.49,-1.7,-0.61,-0.3,2.2,5.7e-06,3.4
beta_samp[60],-0.31,0.66,0.95,-1.1,-0.77,1.4,2.1,5.4e-06,6.1
beta_samp[61],-1.2,0.27,0.43,-1.7,-1.3,-0.48,2.6,6.7e-06,2.1
beta_samp[62],0.55,0.29,0.49,-0.083,0.42,1.5,2.9,7.6e-06,1.9
beta_samp[63],-0.6,0.086,0.17,-0.87,-0.59,-0.34,4.0,1e-05,1.4
beta_samp[64],-0.48,0.61,0.87,-1.2,-0.92,1.1,2.0,5.3e-06,7.4
beta_samp[65],0.098,0.17,0.31,-0.38,0.11,0.61,3.4,9e-06,1.5
beta_samp[66],-1.0,0.36,0.51,-2.0,-0.79,-0.56,2.1,5.4e-06,5.3
beta_samp[67],-0.57,0.092,0.17,-0.84,-0.56,-0.3,3.6,9.3e-06,1.5
beta_samp[68],-0.066,0.43,0.62,-0.6,-0.37,1.1,2.1,5.4e-06,6.3
beta_samp[69],1.6,1.3,1.9,-1.7,2.4,3.3,2.1,5.4e-06,5.3
beta_samp[70],0.064,0.48,0.69,-0.52,-0.27,1.3,2.1,5.4e-06,6.2
beta_samp[71],-0.034,0.62,0.91,-1.6,0.35,0.89,2.1,5.5e-06,4.0
beta_samp[72],0.25,0.21,0.51,-0.62,0.28,0.86,5.8,1.5e-05,1.2
beta_samp[73],2.9,0.52,0.85,1.5,3.0,4.1,2.7,7e-06,1.9
beta_samp[74],-0.38,0.41,0.62,-1.4,-0.2,0.47,2.3,6.1e-06,2.6
beta_samp[75],-0.54,0.24,0.36,-0.93,-0.67,0.17,2.2,5.8e-06,3.2
beta_samp[76],-0.75,0.41,0.59,-1.8,-0.49,-0.18,2.1,5.5e-06,4.7
beta_samp[77],0.64,0.36,0.54,0.039,0.43,1.6,2.2,5.8e-06,3.2
beta_samp[78],0.99,0.14,0.36,0.4,1.0,1.4,6.0,1.6e-05,1.2
beta_samp[79],0.24,0.23,0.66,-0.6,0.096,1.5,8.5,2.2e-05,1.2
beta_samp[80],0.61,0.33,0.58,-0.23,0.5,1.4,3.1,8e-06,1.7
beta_samp[81],2.2,1.0,1.5,-0.38,2.8,3.8,2.1,5.6e-06,3.9
beta_samp[82],-0.43,0.065,0.42,-1.1,-0.42,0.22,42.0,0.00011,1.1
beta_samp[83],-0.88,0.33,0.49,-1.4,-1.1,0.019,2.2,5.7e-06,3.6
beta_samp[84],0.8,0.51,0.79,-0.52,0.99,1.9,2.4,6.3e-06,2.3
beta_samp[85],-0.2,0.67,0.96,-0.95,-0.69,1.5,2.0,5.3e-06,8.8
beta_samp[86],0.55,0.36,0.7,-0.48,0.46,1.5,3.7,9.7e-06,1.4
beta_samp[87],-0.55,0.14,0.23,-0.86,-0.61,-0.15,2.7,7e-06,2.0
beta_samp[88],-0.58,0.4,0.58,-1.6,-0.34,0.013,2.1,5.5e-06,4.0
beta_samp[89],-1.2,1.0,1.4,-2.4,-1.9,1.3,2.0,5.3e-06,7.6
beta_samp[90],0.22,0.87,1.3,-2.0,0.81,1.3,2.1,5.4e-06,5.7
beta_samp[91],0.75,0.82,1.2,-1.3,1.2,2.2,2.2,5.8e-06,3.0
beta_samp[92],-0.13,0.11,0.21,-0.44,-0.12,0.23,3.7,9.6e-06,1.5
beta_samp[93],-0.47,0.23,0.38,-1.4,-0.36,-0.025,2.6,6.9e-06,2.5
beta_samp[94],-0.13,0.74,1.1,-0.98,-0.67,1.7,2.0,5.3e-06,7.2
beta_samp[95],0.38,0.44,0.64,-0.19,0.067,1.5,2.1,5.5e-06,4.5
beta_samp[96],-0.3,0.39,0.6,-1.3,-0.14,0.5,2.4,6.3e-06,2.4
beta_samp[97],-0.34,0.35,0.53,-1.2,-0.19,0.31,2.3,6.1e-06,2.6
beta_samp[98],-0.13,0.12,0.2,-0.47,-0.081,0.14,2.5,6.6e-06,2.2
beta_samp[99],-0.76,0.011,0.2,-1.1,-0.77,-0.39,309.0,0.0008,1.0
beta_samp[100],-0.13,0.21,0.45,-0.73,-0.18,0.69,4.5,1.2e-05,1.4
beta_samp[101],-0.18,0.4,0.61,-0.85,-0.41,0.88,2.3,5.9e-06,2.8
beta_samp[102],-0.099,0.15,0.28,-0.61,-0.075,0.33,3.5,9.1e-06,1.7
beta_samp[103],0.71,0.095,0.58,-0.14,0.57,1.8,37.0,9.6e-05,1.0
beta_samp[104],-0.13,0.7,1.0,-1.1,-0.67,1.6,2.2,5.6e-06,3.6
beta_samp[105],0.75,0.36,0.57,0.046,0.58,1.8,2.5,6.4e-06,2.3
beta_samp[106],0.2,0.21,0.41,-0.44,0.16,0.74,3.8,1e-05,1.4
etaPositive_samp[1],-0.34,0.52,0.75,-1.1,-0.65,0.97,2.1,5.5e-06,4.2
