name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaNegative[111],0.0086,0.0035,0.0063,0.0,0.01,0.017,3.3,1.5e-05,1.6
etaNegative[112],0.25,0.011,0.43,0.00096,0.0015,1.0,1600.0,0.0071,1763.0
etaNegative[113],0.056,0.023,0.034,0.0,0.069,0.095,2.2,9.7e-06,3.3
etaNegative[114],0.0041,6.8e-05,0.0027,0.0,0.0046,0.008,1600.0,0.0071,2.1
etaNegative[115],0.26,0.011,0.43,0.011,0.019,1.0,1600.0,0.0071,119.0
etaNegative[116],0.25,0.011,0.43,0.00091,0.0053,1.0,1600.0,0.0071,251.0
etaNegative[117],0.002,0.00087,0.0015,0.0,0.0022,0.0044,2.9,1.3e-05,1.7
etaNegative[118],0.0013,0.00053,0.00084,0.0,0.0014,0.0025,2.5,1.1e-05,2.2
etaNegative[119],0.0027,0.0012,0.0019,0.0,0.003,0.0056,2.7,1.2e-05,1.9
etaNegative[120],0.0017,0.00075,0.0019,0.0,0.0012,0.0057,6.5,2.9e-05,1.2
etaNegative[121],0.26,0.011,0.43,0.0054,0.013,1.0,1600.0,0.0071,122.0
etaNegative[122],0.0092,0.0039,0.0064,0.0,0.01,0.018,2.7,1.2e-05,1.9
etaNegative[123],0.25,0.011,0.43,0.0016,0.0069,1.0,1600.0,0.0071,138.0
etaNegative[124],0.26,0.011,0.43,0.012,0.018,1.0,1600.0,0.0071,171.0
etaNegative[125],0.26,0.011,0.43,0.0032,0.0075,1.0,1600.0,0.0071,167.0
m[1],0.024,0.0051,0.057,-0.037,0.0099,0.14,127.0,0.00056,1.0
m[2],0.028,0.0079,0.065,-0.065,0.01,0.15,68.0,0.0003,1.0
m[3],0.013,0.0034,0.012,0.00018,0.01,0.035,12.0,5.3e-05,1.1
m[4],0.097,0.039,0.071,0.00018,0.099,0.21,3.3,1.5e-05,1.5
m[5],0.0059,0.0007,0.0032,0.00018,0.0058,0.01,21.0,9.2e-05,1.4
m[6],0.026,0.007,0.041,-0.013,0.01,0.11,35.0,0.00016,1.0
m[7],-0.052,0.025,0.061,-0.15,-0.057,0.017,5.8,2.6e-05,1.2
m[8],-0.02,0.0099,0.053,-0.1,-0.018,0.069,29.0,0.00013,1.0
m[9],0.0085,0.00082,0.019,-0.0053,0.0038,0.038,530.0,0.0023,1.0
m[10],0.024,0.005,0.042,-0.0036,0.0096,0.12,69.0,0.0003,1.0
m[11],-6.7e-06,0.0024,0.005,-0.0061,-0.00092,0.01,4.3,1.9e-05,1.7
m[12],0.088,0.036,0.072,0.00018,0.085,0.21,4.1,1.8e-05,1.4
m[13],0.0034,0.00076,0.0089,-0.0063,0.00033,0.018,139.0,0.00061,1.0
m[14],0.0016,0.0016,0.0077,-0.0074,0.00018,0.013,23.0,0.0001,1.1
m[15],0.076,0.031,0.066,0.00018,0.068,0.2,4.7,2.1e-05,1.3
m[16],0.076,0.031,0.065,0.00018,0.066,0.19,4.6,2e-05,1.3
m[17],0.025,0.0084,0.034,0.00018,0.012,0.094,16.0,7.3e-05,1.1
m[18],0.087,0.035,0.068,0.00018,0.083,0.21,3.8,1.7e-05,1.4
m[19],0.053,0.021,0.052,0.00018,0.039,0.15,6.2,2.7e-05,1.2
m[20],0.017,0.004,0.029,-0.0011,0.0083,0.079,55.0,0.00024,1.0
m[21],0.071,0.028,0.06,0.00018,0.064,0.18,4.4,1.9e-05,1.3
m[22],0.023,0.0078,0.019,0.00018,0.019,0.059,5.9,2.6e-05,1.2
m[23],0.0046,0.00075,0.0035,0.00018,0.0037,0.01,22.0,9.7e-05,1.4
m[24],0.0067,0.00058,0.016,-0.0066,0.0012,0.036,781.0,0.0035,1.0
m[25],-0.026,0.014,0.028,-0.049,-0.039,0.01,4.1,1.8e-05,1.4
m[26],-0.0097,0.0063,0.0092,-0.017,-0.014,0.01,2.2,9.5e-06,6.6
m[27],0.0033,0.00094,0.0041,-0.00041,0.0017,0.01,19.0,8.3e-05,1.3
m[28],0.028,0.0073,0.061,-0.056,0.01,0.14,70.0,0.00031,1.0
m[29],0.11,0.045,0.078,0.00018,0.12,0.24,3.0,1.3e-05,1.7
m[30],0.012,0.00099,0.056,-0.072,0.0078,0.12,3267.0,0.014,1.0
m[31],0.032,0.012,0.026,0.00018,0.028,0.078,5.0,2.2e-05,1.3
m[32],-0.044,0.021,0.042,-0.12,-0.04,0.01,3.9,1.7e-05,1.4
m[33],0.098,0.04,0.076,0.00018,0.098,0.23,3.6,1.6e-05,1.5
m[34],0.073,0.029,0.051,0.00018,0.075,0.16,3.2,1.4e-05,1.6
m[35],0.07,0.028,0.07,0.00018,0.052,0.21,6.2,2.7e-05,1.2
m[36],-0.12,0.052,0.083,-0.23,-0.14,0.01,2.5,1.1e-05,2.2
m[37],0.011,0.001,0.031,-0.012,0.00028,0.078,976.0,0.0043,1.0
m[38],0.023,0.0063,0.038,-0.0055,0.0099,0.1,36.0,0.00016,1.0
m[39],0.097,0.039,0.067,0.00018,0.1,0.21,3.0,1.3e-05,1.7
m[40],0.15,0.06,0.099,0.00018,0.16,0.3,2.7,1.2e-05,1.9
m[41],0.085,0.034,0.065,0.00018,0.084,0.2,3.6,1.6e-05,1.5
m[42],0.066,0.026,0.049,0.00018,0.066,0.15,3.5,1.6e-05,1.5
m[43],0.098,0.039,0.068,0.00018,0.1,0.21,3.0,1.3e-05,1.7
m[44],0.082,0.033,0.062,0.00018,0.08,0.19,3.5,1.6e-05,1.5
m[45],-0.0062,0.0051,0.014,-0.02,-0.01,0.01,7.6,3.3e-05,1.2
m[46],0.008,0.00088,0.0085,-0.0007,0.007,0.024,93.0,0.00041,1.1
m[47],0.18,0.072,0.11,0.00018,0.21,0.33,2.4,1.1e-05,2.4
m[48],0.13,0.052,0.087,0.00018,0.14,0.26,2.7,1.2e-05,1.9
m[49],0.0051,0.00069,0.0049,-0.00054,0.0041,0.013,51.0,0.00022,1.1
m[50],0.078,0.031,0.058,0.00018,0.076,0.18,3.5,1.5e-05,1.5
m[51],-0.077,0.035,0.06,-0.17,-0.083,0.01,2.9,1.3e-05,1.7
m[52],-0.0027,0.0035,0.0057,-0.0079,-0.005,0.01,2.7,1.2e-05,2.8
m[53],0.16,0.065,0.1,0.00018,0.18,0.31,2.5,1.1e-05,2.1
m[54],0.086,0.035,0.066,0.00018,0.084,0.2,3.6,1.6e-05,1.5
m[55],0.022,0.0066,0.035,-0.0042,0.01,0.094,29.0,0.00013,1.1
m[56],-0.0015,0.0029,0.0048,-0.0048,-0.0036,0.01,2.6,1.2e-05,4.3
m[57],0.021,0.0065,0.017,0.00018,0.017,0.053,6.9,3e-05,1.2
m[58],0.0074,0.00086,0.0043,0.00018,0.0076,0.014,25.0,0.00011,1.2
m[59],0.037,0.013,0.06,-0.036,0.01,0.16,23.0,0.0001,1.1
m[60],0.085,0.034,0.064,0.00018,0.084,0.2,3.5,1.5e-05,1.5
m[61],0.039,0.014,0.043,0.00018,0.024,0.13,9.2,4.1e-05,1.1
m[62],0.11,0.042,0.075,0.00018,0.11,0.23,3.1,1.4e-05,1.6
m[63],-0.0034,0.0037,0.0058,-0.0079,-0.0059,0.01,2.4,1.1e-05,4.3
m[64],-0.048,0.023,0.047,-0.13,-0.045,0.01,4.2,1.8e-05,1.4
m[65],0.03,0.0094,0.046,-0.009,0.01,0.13,24.0,0.00011,1.1
m[66],0.03,0.0099,0.043,-0.0034,0.01,0.12,19.0,8.3e-05,1.1
m[67],0.1,0.041,0.077,0.00018,0.1,0.23,3.4,1.5e-05,1.5
m[68],0.11,0.045,0.079,0.00018,0.12,0.24,3.0,1.3e-05,1.7
m[69],0.052,0.02,0.055,0.00018,0.033,0.16,7.4,3.3e-05,1.2
m[70],0.064,0.025,0.054,0.00018,0.058,0.17,4.6,2e-05,1.3
m[71],0.018,0.0047,0.031,-0.0096,0.0099,0.084,43.0,0.00019,1.0
m[72],0.087,0.035,0.065,0.00018,0.085,0.2,3.5,1.6e-05,1.5
m[73],0.037,0.013,0.072,-0.069,0.012,0.17,30.0,0.00013,1.0
m[74],0.018,0.0053,0.02,-0.00034,0.011,0.056,14.0,6.1e-05,1.1
m[75],0.0034,0.00087,0.0064,-0.0048,0.0015,0.013,54.0,0.00024,1.1
m[76],0.032,0.011,0.035,0.00018,0.022,0.1,9.2,4.1e-05,1.1
m[77],0.14,0.055,0.088,0.00018,0.16,0.27,2.6,1.1e-05,2.1
m[78],-0.0063,0.0049,0.0074,-0.012,-0.01,0.01,2.3,1e-05,5.2
m[79],0.046,0.017,0.051,0.00018,0.029,0.15,8.6,3.8e-05,1.1
m[80],-0.00037,0.0026,0.0085,-0.01,-0.0016,0.01,11.0,4.7e-05,1.2
m[81],0.078,0.031,0.063,0.00018,0.071,0.19,4.1,1.8e-05,1.4
m[82],-0.0014,0.0029,0.005,-0.0062,-0.0032,0.01,2.9,1.3e-05,2.6
m[83],0.036,0.012,0.046,-0.00045,0.014,0.13,15.0,6.6e-05,1.1
m[84],0.046,0.018,0.052,0.00018,0.027,0.15,8.7,3.8e-05,1.1
m[85],-0.0022,0.0032,0.0051,-0.0062,-0.0043,0.01,2.6,1.1e-05,4.2
m[86],-0.016,0.0088,0.014,-0.035,-0.019,0.01,2.5,1.1e-05,2.2
m[87],0.099,0.04,0.074,0.00018,0.098,0.23,3.4,1.5e-05,1.5
m[88],0.022,0.0033,0.049,-0.014,0.0035,0.13,218.0,0.00096,1.0
m[89],-0.011,0.0069,0.01,-0.02,-0.016,0.01,2.2,9.7e-06,4.5
m[90],-0.0073,0.0053,0.0079,-0.013,-0.011,0.01,2.2,9.8e-06,6.1
m[91],-0.005,0.0044,0.015,-0.021,-0.0092,0.018,12.0,5.2e-05,1.1
m[92],0.054,0.021,0.058,0.00018,0.039,0.17,7.4,3.3e-05,1.2
m[93],0.01,0.00093,0.021,-0.0046,0.004,0.047,522.0,0.0023,1.0
m[94],-0.048,0.023,0.044,-0.12,-0.046,0.01,3.7,1.6e-05,1.5
m[95],0.019,0.0047,0.029,-0.0074,0.01,0.078,39.0,0.00017,1.0
m[96],-0.004,0.004,0.0061,-0.0085,-0.0069,0.01,2.4,1e-05,4.9
m[97],0.014,0.0011,0.048,-0.051,0.0091,0.11,1790.0,0.0079,1.0
m[98],-0.028,0.015,0.039,-0.097,-0.026,0.01,7.2,3.2e-05,1.2
m[99],0.099,0.04,0.075,0.00018,0.099,0.22,3.4,1.5e-05,1.5
m[100],0.023,0.0075,0.017,0.00018,0.021,0.053,5.2,2.3e-05,1.3
m[101],0.092,0.037,0.071,0.00018,0.089,0.22,3.6,1.6e-05,1.5
m[102],0.024,0.0078,0.018,0.00018,0.02,0.059,5.6,2.5e-05,1.3
m[103],0.03,0.0089,0.052,-0.018,0.01,0.14,33.0,0.00015,1.0
m[104],0.039,0.015,0.028,0.00018,0.039,0.086,3.7,1.6e-05,1.5
m[105],-0.026,0.013,0.029,-0.076,-0.024,0.01,4.6,2e-05,1.3
m[106],-0.0066,0.0051,0.0082,-0.015,-0.01,0.01,2.6,1.1e-05,2.4
m[107],-0.13,0.056,0.087,-0.24,-0.15,0.01,2.4,1.1e-05,2.4
m[108],0.11,0.043,0.084,0.00018,0.11,0.24,3.7,1.7e-05,1.4
m[109],0.075,0.03,0.063,0.00018,0.068,0.19,4.3,1.9e-05,1.3
m[110],0.085,0.034,0.068,0.00018,0.082,0.21,3.9,1.7e-05,1.4
m[111],-0.025,0.012,0.036,-0.075,-0.028,0.01,8.4,3.7e-05,1.2
m[112],0.17,0.069,0.11,0.00018,0.2,0.32,2.5,1.1e-05,2.2
m[113],0.037,0.014,0.026,0.00018,0.036,0.081,3.6,1.6e-05,1.5
m[114],0.11,0.046,0.079,0.00018,0.12,0.24,3.0,1.3e-05,1.7
m[115],0.0096,0.0013,0.01,-0.00046,0.0083,0.031,61.0,0.00027,1.1
m[116],-0.021,0.012,0.027,-0.063,-0.021,0.01,5.7,2.5e-05,1.2
m[117],0.093,0.038,0.071,0.00018,0.093,0.22,3.5,1.6e-05,1.5
m[118],0.13,0.054,0.089,0.00018,0.15,0.27,2.7,1.2e-05,1.9
m[119],0.1,0.042,0.077,0.00018,0.11,0.23,3.3,1.5e-05,1.5
m[120],0.039,0.014,0.049,-0.0023,0.019,0.14,12.0,5.4e-05,1.1
m[121],0.014,0.0024,0.024,-0.007,0.0089,0.062,101.0,0.00045,1.0
m[122],0.0043,0.00051,0.011,-0.0066,0.00068,0.023,492.0,0.0022,1.0
m[123],0.043,0.016,0.046,0.00018,0.027,0.14,8.2,3.6e-05,1.2
m[124],-0.0098,0.0064,0.01,-0.019,-0.015,0.01,2.5,1.1e-05,2.4
m[125],0.086,0.035,0.067,0.00018,0.081,0.2,3.7,1.6e-05,1.4
