name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta_samp[57],0.79,0.0075,0.22,0.44,0.78,1.2,870.0,0.0039,1.0
beta_samp[58],-1.3,0.0073,0.15,-1.6,-1.3,-1.1,449.0,0.002,1.0
beta_samp[59],1.1,0.01,0.35,0.61,1.0,1.8,1185.0,0.0053,1.0
beta_samp[60],-0.56,0.0076,0.19,-0.84,-0.57,-0.22,642.0,0.0029,1.0
beta_samp[61],2.2,0.0093,0.31,1.7,2.2,2.7,1073.0,0.0048,1.0
beta_samp[62],-0.26,0.015,0.67,-1.4,-0.25,0.8,2044.0,0.0092,1.0
beta_samp[63],2.5,0.012,0.29,2.1,2.5,3.1,623.0,0.0028,1.0
beta_samp[64],-0.65,0.0068,0.17,-0.93,-0.65,-0.36,636.0,0.0029,1.0
beta_samp[65],-0.3,0.01,0.29,-0.67,-0.35,0.25,855.0,0.0039,1.0
beta_samp[66],-0.39,0.012,0.44,-0.99,-0.45,0.43,1382.0,0.0062,1.0
beta_samp[67],0.39,0.0087,0.32,-0.04,0.35,1.0,1345.0,0.0061,1.0
beta_samp[68],1.1,0.0091,0.45,0.32,1.0,1.8,2417.0,0.011,1.0
beta_samp[69],0.2,0.015,0.7,-0.87,0.15,1.4,2083.0,0.0094,1.0
beta_samp[70],-0.3,0.013,0.47,-0.93,-0.39,0.61,1375.0,0.0062,1.0
beta_samp[71],-0.12,0.017,0.52,-0.78,-0.22,0.89,929.0,0.0042,1.0
beta_samp[72],-0.77,0.0069,0.12,-0.96,-0.77,-0.56,316.0,0.0014,1.0
beta_samp[73],-0.12,0.0072,0.15,-0.35,-0.14,0.15,460.0,0.0021,1.0
beta_samp[74],-0.077,0.0069,0.17,-0.31,-0.1,0.24,623.0,0.0028,1.0
beta_samp[75],-0.25,0.0066,0.19,-0.55,-0.26,0.085,845.0,0.0038,1.0
beta_samp[76],-0.92,0.0074,0.16,-1.2,-0.92,-0.64,463.0,0.0021,1.0
beta_samp[77],-0.32,0.0066,0.13,-0.52,-0.32,-0.089,388.0,0.0018,1.0
beta_samp[78],-1.2,0.0074,0.14,-1.5,-1.2,-1.0,372.0,0.0017,1.0
beta_samp[79],-0.73,0.0069,0.19,-1.0,-0.73,-0.42,756.0,0.0034,1.0
beta_samp[80],0.71,0.0074,0.26,0.28,0.7,1.1,1212.0,0.0055,1.0
beta_samp[81],-0.066,0.0069,0.24,-0.43,-0.077,0.35,1181.0,0.0053,1.0
beta_samp[82],-0.88,0.0068,0.12,-1.1,-0.87,-0.67,330.0,0.0015,1.0
beta_samp[83],0.51,0.0066,0.25,0.13,0.49,0.95,1468.0,0.0066,1.0
beta_samp[84],-0.47,0.0064,0.14,-0.7,-0.47,-0.25,449.0,0.002,1.0
beta_samp[85],0.35,0.018,0.78,-0.93,0.34,1.7,1817.0,0.0082,1.0
beta_samp[86],0.027,0.0092,0.32,-0.36,-0.034,0.63,1212.0,0.0055,1.0
beta_samp[87],0.62,0.0066,0.28,0.18,0.6,1.1,1839.0,0.0083,1.0
beta_samp[88],0.089,0.011,0.32,-0.29,0.0094,0.72,829.0,0.0037,1.0
beta_samp[89],0.51,0.0083,0.31,0.15,0.44,1.2,1428.0,0.0064,1.0
beta_samp[90],2.7,0.0096,0.49,2.0,2.7,3.6,2583.0,0.012,1.0
beta_samp[91],2.4,0.011,0.58,1.5,2.4,3.4,2968.0,0.013,1.0
beta_samp[92],-1.6,0.0078,0.18,-1.9,-1.6,-1.3,539.0,0.0024,1.0
beta_samp[93],-0.84,1.1,1.6,-2.0,-1.7,2.5,2.1,9.5e-06,4.5
beta_samp[94],-0.0011,0.0077,0.26,-0.4,-0.019,0.46,1158.0,0.0052,1.0
beta_samp[95],0.0055,0.0079,0.26,-0.38,-0.012,0.46,1109.0,0.005,1.0
beta_samp[96],-0.39,0.0088,0.37,-0.92,-0.43,0.28,1739.0,0.0078,1.0
beta_samp[97],1.0,0.016,0.57,0.25,0.98,2.1,1290.0,0.0058,1.0
beta_samp[98],0.28,0.012,0.5,-0.4,0.21,1.2,1657.0,0.0075,1.0
beta_samp[99],-0.55,0.013,0.54,-1.3,-0.65,0.5,1617.0,0.0073,1.0
beta_samp[100],-0.25,0.006,0.16,-0.5,-0.26,0.032,753.0,0.0034,1.0
beta_samp[101],1.1,0.0076,0.35,0.55,1.1,1.7,2142.0,0.0097,1.0
beta_samp[102],-0.46,0.012,0.48,-1.1,-0.53,0.43,1675.0,0.0075,1.0
beta_samp[103],-0.59,0.016,0.53,-1.2,-0.71,0.44,1148.0,0.0052,1.0
beta_samp[104],-0.12,0.0066,0.12,-0.31,-0.13,0.076,319.0,0.0014,1.0
beta_samp[105],-0.39,0.0067,0.15,-0.64,-0.39,-0.13,535.0,0.0024,1.0
beta_samp[106],3.0,0.01,0.57,2.1,3.0,4.0,3189.0,0.014,1.0
beta_samp[107],0.16,0.012,0.5,-0.54,0.1,1.1,1721.0,0.0078,1.0
beta_samp[108],-0.48,0.0072,0.19,-0.77,-0.5,-0.14,728.0,0.0033,1.0
beta_samp[109],-0.55,0.0069,0.12,-0.75,-0.55,-0.35,304.0,0.0014,1.0
