name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaPositive_samp[53],-0.24,0.94,1.3,-1.3,-0.92,2.2,2.0,5.8e-06,7.5
etaPositive_samp[54],-0.66,0.019,0.23,-1.1,-0.64,-0.32,145.0,0.00041,1.0
etaPositive_samp[55],0.67,0.031,0.36,0.00097,0.71,1.2,138.0,0.00039,1.0
etaPositive_samp[56],-1.7,0.024,0.27,-2.1,-1.6,-1.3,130.0,0.00037,1.0
etaPositive_samp[57],0.063,0.026,0.2,-0.29,0.075,0.38,59.0,0.00017,1.0
etaPositive_samp[58],0.22,0.02,0.16,-0.032,0.22,0.47,58.0,0.00016,1.0
etaPositive_samp[59],-0.58,0.0083,0.22,-0.94,-0.57,-0.22,731.0,0.0021,1.0
etaPositive_samp[60],0.67,0.026,0.15,0.42,0.67,0.94,36.0,0.0001,1.0
etaPositive_samp[61],1.1,0.029,0.18,0.77,1.1,1.4,40.0,0.00011,1.0
etaPositive_samp[62],0.025,0.0066,0.25,-0.39,0.03,0.42,1398.0,0.004,1.0
etaPositive_samp[63],0.63,0.016,0.18,0.34,0.63,0.93,128.0,0.00036,1.0
etaPositive_samp[64],1.5,0.036,0.26,1.1,1.5,1.9,52.0,0.00015,1.0
etaPositive_samp[65],-1.3,0.031,0.23,-1.7,-1.3,-0.9,56.0,0.00016,1.0
etaPositive_samp[66],-0.0086,0.0085,0.21,-0.39,0.0078,0.3,617.0,0.0017,1.0
etaPositive_samp[67],-0.6,0.011,0.52,-1.6,-0.54,0.13,2209.0,0.0063,1.0
etaPositive_samp[68],-0.85,0.012,0.72,-2.1,-0.83,0.24,3730.0,0.011,1.0
etaPositive_samp[69],0.36,0.01,0.21,-0.034,0.38,0.67,416.0,0.0012,1.0
etaPositive_samp[70],1.2,0.027,0.37,0.53,1.2,1.7,190.0,0.00054,1.0
etaPositive_samp[71],0.95,0.02,0.19,0.63,0.94,1.3,93.0,0.00026,1.0
etaPositive_samp[72],0.64,0.0079,0.33,0.096,0.66,1.2,1738.0,0.0049,1.0
etaPositive_samp[73],1.2,0.024,0.21,0.89,1.2,1.6,74.0,0.00021,1.0
etaPositive_samp[74],-0.91,0.011,0.35,-1.6,-0.85,-0.48,993.0,0.0028,1.0
etaPositive_samp[75],0.98,0.033,0.25,0.57,0.98,1.4,59.0,0.00017,1.0
etaPositive_samp[76],-1.7,0.0097,0.56,-2.7,-1.7,-0.91,3320.0,0.0094,1.0
etaPositive_samp[77],0.66,0.021,0.16,0.4,0.66,0.93,63.0,0.00018,1.0
etaPositive_samp[78],-2.1,0.01,0.51,-3.0,-2.0,-1.3,2602.0,0.0074,1.0
etaPositive_samp[79],0.46,0.0074,0.25,0.041,0.47,0.85,1124.0,0.0032,1.0
etaPositive_samp[80],-0.012,0.017,0.52,-1.1,0.11,0.54,948.0,0.0027,1.0
etaPositive_samp[81],0.18,0.0074,0.27,-0.28,0.18,0.62,1347.0,0.0038,1.0
etaPositive_samp[82],-0.31,0.013,0.2,-0.64,-0.32,0.024,245.0,0.00069,1.0
etaPositive_samp[83],-0.44,0.023,0.67,-1.3,-0.59,0.99,881.0,0.0025,1.0
etaPositive_samp[84],-1.5,0.0097,0.34,-2.1,-1.5,-1.0,1202.0,0.0034,1.0
etaPositive_samp[85],-1.5,0.57,0.87,-3.2,-1.1,-0.68,2.3,6.4e-06,2.8
etaPositive_samp[86],0.56,0.013,0.54,-0.37,0.59,1.4,1729.0,0.0049,1.0
etaPositive_samp[87],0.35,0.015,0.12,0.14,0.35,0.54,65.0,0.00018,1.0
