name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
etaNegative_samp[24],0.34,0.011,0.16,0.055,0.35,0.6,221.0,0.00062,1.0
etaNegative_samp[25],-0.51,0.013,0.25,-0.9,-0.51,-0.1,368.0,0.001,1.0
etaNegative_samp[26],0.095,0.026,0.51,-0.73,0.086,0.9,387.0,0.0011,1.0
etaNegative_samp[27],-0.16,0.015,0.28,-0.62,-0.15,0.28,328.0,0.00093,1.0
etaNegative_samp[28],-0.72,0.013,0.2,-1.1,-0.72,-0.4,262.0,0.00074,1.0
etaNegative_samp[29],1.8,0.013,0.29,1.3,1.7,2.3,515.0,0.0015,1.0
etaNegative_samp[30],-0.68,0.018,0.48,-1.4,-0.7,0.11,719.0,0.002,1.0
etaNegative_samp[31],2.2,0.019,0.51,1.3,2.2,3.0,708.0,0.002,1.0
etaNegative_samp[32],0.22,0.019,0.44,-0.43,0.18,1.0,543.0,0.0015,1.0
etaNegative_samp[33],0.14,0.015,0.37,-0.43,0.13,0.79,634.0,0.0018,1.0
etaNegative_samp[34],0.37,0.015,0.35,-0.23,0.38,0.89,535.0,0.0015,1.0
etaNegative_samp[35],0.54,0.035,0.56,-0.51,0.62,1.3,256.0,0.00072,1.0
etaNegative_samp[36],-0.32,0.025,0.4,-0.95,-0.34,0.39,265.0,0.00075,1.0
etaNegative_samp[37],0.64,0.011,0.36,0.097,0.63,1.3,994.0,0.0028,1.0
etaNegative_samp[38],-0.62,0.025,0.44,-1.4,-0.58,0.048,319.0,0.0009,1.0
etaNegative_samp[39],-0.37,0.015,0.29,-0.87,-0.35,0.079,383.0,0.0011,1.0
etaNegative_samp[40],-0.46,0.015,0.33,-1.0,-0.46,0.095,508.0,0.0014,1.0
etaNegative_samp[41],-0.11,0.02,0.31,-0.6,-0.12,0.41,230.0,0.00065,1.0
etaNegative_samp[42],0.24,0.024,0.43,-0.49,0.26,0.89,326.0,0.00092,1.0
etaNegative_samp[43],-0.17,0.012,0.27,-0.6,-0.17,0.27,475.0,0.0013,1.0
etaNegative_samp[44],-0.68,0.014,0.22,-1.1,-0.66,-0.34,232.0,0.00066,1.0
etaNegative_samp[45],-0.88,0.024,0.38,-1.5,-0.9,-0.2,266.0,0.00075,1.0
etaNegative_samp[46],1.2,0.012,0.22,0.82,1.2,1.5,322.0,0.00091,1.0
etaNegative_samp[47],-0.15,0.012,0.23,-0.52,-0.15,0.21,350.0,0.00099,1.0
etaNegative_samp[48],-0.93,0.015,0.31,-1.4,-0.94,-0.4,432.0,0.0012,1.0
etaNegative_samp[49],-0.84,0.014,0.25,-1.3,-0.85,-0.44,302.0,0.00085,1.0
etaNegative_samp[50],0.46,0.022,0.41,-0.31,0.51,1.1,353.0,0.001,1.0
etaNegative_samp[51],-0.32,0.019,0.3,-0.85,-0.3,0.15,259.0,0.00073,1.0
etaNegative_samp[52],-0.68,0.026,0.53,-1.7,-0.55,-0.0055,432.0,0.0012,1.0
etaNegative_samp[53],0.2,0.017,0.2,-0.16,0.23,0.48,141.0,0.0004,1.0
