,Subject,Beta,etaPos,etaNeg,p1,p2,p3,p4,Actual Subject,Task
77,47.0,2.591,0.07,0.063,-0.363,-0.056,0.026,0.032,108.0,2.0
78,157.0,3.582,0.026,0.022,-0.723,-0.109,-0.005,0.011,439.0,2.0
79,52.0,5.046,0.019,0.061,-0.172,0.004,0.015,0.051,137.0,2.0
80,15.0,1.612,0.038,0.206,0.011,-0.011,0.01,0.02,120.0,2.0
81,59.0,2.612,0.009,0.015,-0.347,0.031,-0.052,0.018,132.0,2.0
82,60.0,2.038,0.023,0.48,-0.257,-0.008,0.002,0.049,162.0,2.0
83,10.0,2.212,0.024,0.084,-0.413,-0.028,0.015,-0.006,127.0,2.0
84,2.0,2.64,0.065,0.379,0.098,0.024,-0.019,0.019,111.0,3.0
85,66.0,1.823,0.026,0.029,-1.226,-0.027,0.035,-0.01,211.0,3.0
86,65.0,2.982,0.006,0.069,0.079,-0.007,0.064,0.059,210.0,3.0
87,64.0,2.375,0.023,0.643,-0.141,-0.097,-0.001,0.011,209.0,3.0
88,18.0,2.859,0.056,0.526,-0.051,-0.057,0.001,0.037,123.0,3.0
89,79.0,2.994,0.037,0.071,-0.377,-0.017,0.047,0.005,231.0,3.0
90,33.0,3.558,0.018,0.009,-0.414,-0.03,0.004,0.031,150.0,3.0
91,11.0,2.165,0.031,0.064,-0.443,-0.021,0.022,0.011,128.0,3.0
92,28.0,2.722,0.017,0.017,-0.77,-0.034,0.041,0.021,145.0,3.0
93,7.0,2.011,0.013,0.106,-0.338,-0.049,0.043,0.049,116.0,3.0
94,78.0,1.812,0.03,0.702,-0.191,-0.128,0.015,0.022,230.0,3.0
95,61.0,2.184,0.019,0.143,0.036,-0.037,0.035,0.044,163.0,3.0
96,53.0,2.517,0.023,0.435,-0.442,-0.128,-0.006,0.015,138.0,3.0
97,20.0,2.946,0.019,0.049,-1.477,0.012,0.011,-0.005,157.0,3.0
98,48.0,4.141,0.011,0.01,-0.973,0.021,0.008,-0.002,133.0,3.0
99,77.0,1.764,0.024,0.037,-0.904,-0.042,-0.009,0.015,229.0,3.0
100,76.0,2.116,0.011,0.094,-0.4,0.034,-0.028,0.006,228.0,3.0
101,75.0,2.383,0.038,0.157,-0.786,-0.141,0.004,0.005,227.0,3.0
102,74.0,1.426,0.011,0.155,-0.35,-0.015,-0.015,0.049,226.0,3.0
103,73.0,2.125,0.027,0.037,0.087,-0.035,0.061,0.003,225.0,3.0
