name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
m_samp[17],-0.1,0.049,0.75,-1.2,-0.17,1.2,239.0,0.018,1.0
m_samp[18],0.18,0.023,0.7,-0.84,0.1,1.5,902.0,0.068,1.0
m_samp[19],1.2,0.026,0.79,-0.1,1.2,2.5,887.0,0.067,1.0
m_samp[20],0.42,0.032,0.69,-0.57,0.35,1.6,455.0,0.034,1.0
m_samp[21],0.3,0.052,0.79,-0.94,0.26,1.6,230.0,0.017,1.0
m_samp[22],-1.1,0.067,0.71,-2.2,-1.2,0.27,113.0,0.0085,1.1
m_samp[23],-0.52,0.034,0.71,-1.5,-0.61,0.88,435.0,0.033,1.0
m_samp[24],0.082,0.099,1.0,-1.5,0.042,1.8,105.0,0.0079,1.0
m_samp[25],-0.5,0.023,0.59,-1.4,-0.55,0.58,656.0,0.049,1.0
m_samp[26],-0.34,0.031,0.77,-1.5,-0.41,1.0,632.0,0.048,1.0
m_samp[27],0.89,0.041,0.73,-0.26,0.85,2.1,319.0,0.024,1.0
m_samp[28],-0.21,0.022,0.62,-1.2,-0.26,0.92,774.0,0.058,1.0
beta[1],7.4,0.1,2.2,4.9,7.0,11.0,440.0,0.033,1.0
beta[2],3.8,0.087,1.2,2.4,3.6,6.0,194.0,0.015,1.0
beta[3],4.1,0.11,1.8,2.6,3.6,7.8,271.0,0.02,1.0
beta[4],6.6,0.12,2.5,3.7,6.0,11.0,415.0,0.031,1.0
beta[5],16.0,0.18,5.1,10.0,16.0,26.0,804.0,0.06,1.0
beta[6],6.6,0.11,2.3,3.7,6.2,11.0,420.0,0.032,1.0
beta[7],7.7,0.17,3.2,3.8,7.1,13.0,344.0,0.026,1.0
beta[8],6.8,0.17,3.1,3.6,6.1,13.0,349.0,0.026,1.0
beta[9],3.7,0.063,1.4,2.3,3.3,6.2,467.0,0.035,1.0
beta[10],5.0,0.041,0.91,4.0,4.8,6.6,489.0,0.037,1.0
beta[11],4.3,0.13,2.2,2.2,3.6,8.8,264.0,0.02,1.0
beta[12],3.0,0.062,0.85,2.2,2.8,4.5,185.0,0.014,1.0
beta[13],2.4,0.17,2.1,1.5,1.8,6.9,155.0,0.012,1.0
beta[14],4.9,0.15,1.9,3.0,4.3,8.6,164.0,0.012,1.0
beta[15],7.9,0.12,3.0,4.5,7.3,14.0,610.0,0.046,1.0
beta[16],19.0,0.2,5.8,12.0,18.0,30.0,862.0,0.065,1.0
beta[17],13.0,0.16,3.7,8.4,12.0,20.0,543.0,0.041,1.0
beta[18],5.0,0.08,2.2,2.7,4.5,9.1,741.0,0.056,1.0
beta[19],5.2,0.027,0.74,4.1,5.2,6.5,752.0,0.057,1.0
beta[20],5.3,0.16,2.4,2.4,4.8,9.9,240.0,0.018,1.0
beta[21],7.7,0.15,2.3,4.7,7.3,12.0,229.0,0.017,1.0
beta[22],4.4,0.049,0.81,3.4,4.3,5.9,272.0,0.02,1.0
beta[23],6.5,0.12,2.7,3.8,5.7,11.0,518.0,0.039,1.0
beta[24],3.4,0.038,0.78,2.7,3.2,4.9,424.0,0.032,1.0
beta[25],13.0,0.15,4.1,7.8,12.0,20.0,749.0,0.056,1.0
beta[26],3.7,0.025,0.85,2.7,3.5,5.4,1189.0,0.089,1.0
beta[27],10.0,0.33,4.0,5.3,9.2,18.0,146.0,0.011,1.0
beta[28],9.5,0.1,3.2,5.6,8.9,16.0,917.0,0.069,1.0
etaPositive[1],0.013,0.00016,0.0046,0.0064,0.012,0.022,845.0,0.064,1.0
etaPositive[2],0.014,0.00038,0.0058,0.006,0.013,0.024,238.0,0.018,1.0
etaPositive[3],0.017,0.00033,0.0065,0.0068,0.017,0.029,384.0,0.029,1.0
etaPositive[4],0.0078,0.00016,0.0037,0.0032,0.0071,0.015,541.0,0.041,1.0
etaPositive[5],0.0025,2.1e-05,0.00063,0.0016,0.0025,0.0036,903.0,0.068,1.0
etaPositive[6],0.005,0.00011,0.002,0.0023,0.0047,0.0086,322.0,0.024,1.0
etaPositive[7],0.0036,5.6e-05,0.002,0.0011,0.0033,0.0073,1213.0,0.091,1.0
etaPositive[8],0.0079,0.00014,0.0036,0.0032,0.0073,0.015,671.0,0.05,1.0
etaPositive[9],0.018,0.00031,0.0068,0.0078,0.018,0.03,485.0,0.036,1.0
etaPositive[10],0.055,0.00069,0.017,0.029,0.055,0.083,586.0,0.044,1.0
etaPositive[11],0.018,0.00049,0.0075,0.0068,0.017,0.031,238.0,0.018,1.0
etaPositive[12],0.024,0.00037,0.0072,0.012,0.024,0.036,385.0,0.029,1.0
etaPositive[13],0.044,0.0013,0.017,0.0045,0.046,0.069,192.0,0.014,1.0
etaPositive[14],0.017,0.00039,0.0078,0.0063,0.016,0.031,386.0,0.029,1.0
etaPositive[15],0.005,8.3e-05,0.0023,0.0021,0.0046,0.0093,740.0,0.056,1.0
etaPositive[16],0.0024,2e-05,0.0007,0.0014,0.0023,0.0036,1261.0,0.095,1.0
etaPositive[17],0.008,0.0001,0.002,0.0048,0.008,0.011,380.0,0.029,1.0
etaPositive[18],0.018,0.00027,0.008,0.0073,0.017,0.032,846.0,0.064,1.0
etaPositive[19],0.023,0.00015,0.0051,0.015,0.022,0.032,1162.0,0.087,1.0
etaPositive[20],0.0045,0.00018,0.003,0.00099,0.0038,0.011,295.0,0.022,1.0
etaPositive[21],0.0085,0.00016,0.0029,0.0045,0.0081,0.014,320.0,0.024,1.0
etaPositive[22],0.021,0.00017,0.0036,0.015,0.021,0.027,419.0,0.032,1.0
etaPositive[23],0.015,0.00025,0.0056,0.0065,0.014,0.025,492.0,0.037,1.0
etaPositive[24],0.058,0.00069,0.02,0.027,0.056,0.092,829.0,0.062,1.0
etaPositive[25],0.0052,5.4e-05,0.0016,0.0029,0.005,0.0079,824.0,0.062,1.0
etaPositive[26],0.042,0.00041,0.013,0.023,0.042,0.064,950.0,0.071,1.0
etaPositive[27],0.0047,0.00014,0.0022,0.002,0.0043,0.0089,247.0,0.019,1.0
etaPositive[28],0.0055,5e-05,0.0018,0.0029,0.0054,0.0088,1298.0,0.098,1.0
etaNegative[1],0.083,0.00033,0.011,0.065,0.082,0.1,1158.0,0.087,1.0
etaNegative[2],0.096,0.00054,0.024,0.062,0.094,0.14,1911.0,0.14,1.0
etaNegative[3],0.057,0.00079,0.019,0.029,0.056,0.091,594.0,0.045,1.0
etaNegative[4],0.066,0.00045,0.015,0.045,0.064,0.094,1107.0,0.083,1.0
etaNegative[5],0.035,0.0005,0.015,0.011,0.034,0.061,907.0,0.068,1.0
etaNegative[6],0.048,0.00051,0.016,0.026,0.046,0.076,944.0,0.071,1.0
etaNegative[7],0.16,0.0016,0.045,0.095,0.16,0.24,778.0,0.059,1.0
etaNegative[8],0.06,0.00035,0.015,0.037,0.058,0.086,1871.0,0.14,1.0
etaNegative[9],0.095,0.00073,0.018,0.066,0.095,0.12,585.0,0.044,1.0
etaNegative[10],0.16,0.00061,0.023,0.12,0.16,0.19,1397.0,0.11,1.0
etaNegative[11],0.11,0.0024,0.03,0.058,0.1,0.16,164.0,0.012,1.0
etaNegative[12],0.074,0.00067,0.018,0.048,0.073,0.11,691.0,0.052,1.0
etaNegative[13],0.032,0.00059,0.011,0.016,0.031,0.053,344.0,0.026,1.0
etaNegative[14],0.098,0.00045,0.016,0.073,0.097,0.13,1289.0,0.097,1.0
etaNegative[15],0.037,0.0003,0.0093,0.023,0.036,0.054,956.0,0.072,1.0
etaNegative[16],0.059,0.00088,0.017,0.032,0.058,0.089,375.0,0.028,1.0
etaNegative[17],0.072,0.0012,0.02,0.039,0.072,0.1,276.0,0.021,1.0
etaNegative[18],0.24,0.0012,0.047,0.17,0.24,0.32,1652.0,0.12,1.0
etaNegative[19],0.12,0.00035,0.016,0.091,0.12,0.14,2210.0,0.17,1.0
etaNegative[20],0.17,0.0017,0.057,0.092,0.17,0.27,1073.0,0.081,1.0
etaNegative[21],0.12,0.001,0.032,0.076,0.12,0.18,1028.0,0.077,1.0
etaNegative[22],0.081,0.0015,0.025,0.046,0.077,0.13,265.0,0.02,1.0
etaNegative[23],0.075,0.00067,0.022,0.041,0.073,0.11,1083.0,0.081,1.0
etaNegative[24],0.088,0.0014,0.029,0.045,0.086,0.14,417.0,0.031,1.0
etaNegative[25],0.1,0.00044,0.022,0.068,0.1,0.14,2449.0,0.18,1.0
etaNegative[26],0.16,0.00045,0.022,0.12,0.16,0.2,2403.0,0.18,1.0
etaNegative[27],0.066,0.00031,0.011,0.049,0.066,0.085,1233.0,0.093,1.0
etaNegative[28],0.089,0.00063,0.027,0.047,0.086,0.14,1904.0,0.14,1.0
m[1],0.01,0.00028,0.0053,0.0032,0.0094,0.02,367.0,0.028,1.0
m[2],0.014,0.00051,0.0066,0.0055,0.013,0.026,165.0,0.012,1.0
m[3],0.0058,0.00023,0.0049,-0.00031,0.005,0.015,455.0,0.034,1.0
m[4],0.0041,0.00015,0.003,0.00036,0.0035,0.0097,387.0,0.029,1.0
m[5],0.0011,9.3e-05,0.0023,-0.001,0.0004,0.0056,598.0,0.045,1.0
m[6],0.011,0.00054,0.005,0.0048,0.01,0.021,87.0,0.0065,1.0
m[7],0.012,0.00032,0.0048,0.0055,0.011,0.021,220.0,0.017,1.0
m[8],0.0071,0.0002,0.0045,0.0012,0.0063,0.016,498.0,0.037,1.0
m[9],0.0097,0.00031,0.0056,0.0028,0.0087,0.021,324.0,0.024,1.0
m[10],0.011,0.00026,0.0061,0.0023,0.0098,0.022,572.0,0.043,1.0
m[11],0.0021,0.0003,0.0034,-0.0014,0.0011,0.0091,124.0,0.0093,1.0
m[12],0.0083,0.00027,0.0051,0.00095,0.0078,0.017,346.0,0.026,1.0
m[13],0.0049,0.00044,0.0077,-0.0088,0.0055,0.017,315.0,0.024,1.0
m[14],0.0094,0.00027,0.0048,0.003,0.0089,0.018,330.0,0.025,1.0
m[15],0.012,0.00024,0.0057,0.0044,0.011,0.023,576.0,0.043,1.0
m[16],0.0034,0.00015,0.0021,0.00099,0.0029,0.0073,185.0,0.014,1.0
m[17],0.0072,0.00035,0.0049,0.001,0.0063,0.016,189.0,0.014,1.0
m[18],0.0088,0.00018,0.0046,0.0028,0.008,0.018,642.0,0.048,1.0
m[19],0.015,0.00033,0.0063,0.006,0.013,0.026,369.0,0.028,1.0
m[20],0.01,0.00031,0.0047,0.0043,0.0092,0.019,229.0,0.017,1.0
m[21],0.0096,0.00036,0.005,0.0027,0.0088,0.019,193.0,0.015,1.1
m[22],0.0015,0.00029,0.0038,-0.0032,0.00078,0.0086,172.0,0.013,1.0
m[23],0.0048,0.00015,0.004,-3.1e-06,0.004,0.012,706.0,0.053,1.0
m[24],0.0081,0.00045,0.0062,-0.00066,0.0074,0.019,191.0,0.014,1.0
m[25],0.0049,0.00011,0.0031,0.0008,0.0044,0.011,867.0,0.065,1.0
m[26],0.0058,0.00014,0.0045,-0.00027,0.0052,0.014,978.0,0.074,1.0
m[27],0.013,0.00033,0.0053,0.0058,0.012,0.023,251.0,0.019,1.0
m[28],0.0065,0.00011,0.0034,0.002,0.0059,0.013,1022.0,0.077,1.0
