Index,Subject,Beta,eta,p1,p2,p3,p4,Actual Subject,Task
52,52.0,4.261,0.025,-0.286,0.137,0.06,0.093,137.0,2.0
15,15.0,1.374,0.04,-0.195,0.049,0.044,0.062,120.0,2.0
59,59.0,2.277,0.012,-0.497,0.127,-0.064,0.032,132.0,2.0
60,60.0,2.793,0.024,-0.9,0.167,0.032,0.156,162.0,2.0
10,10.0,2.16,0.026,-0.643,0.046,0.032,-0.003,127.0,2.0
2,2.0,1.612,0.134,0.351,0.205,-0.007,0.078,111.0,3.0
66,66.0,1.626,0.029,-1.365,-0.019,0.054,-0.009,211.0,3.0
65,65.0,2.457,0.02,-0.34,0.01,0.126,0.096,210.0,3.0
64,64.0,1.616,0.046,-0.509,-0.019,0.074,0.077,209.0,3.0
18,18.0,1.887,0.129,0.064,0.079,0.064,0.218,123.0,3.0
79,79.0,2.867,0.04,-0.493,0.066,0.093,0.017,231.0,3.0
33,33.0,4.096,0.016,-0.467,-0.011,-0.006,0.084,150.0,3.0
11,11.0,2.035,0.035,-0.547,0.047,0.046,0.024,128.0,3.0
28,28.0,2.569,0.016,-0.598,-0.031,0.08,0.043,145.0,3.0
7,7.0,2.272,0.019,-1.113,0.058,0.101,0.14,116.0,3.0
78,78.0,1.664,0.072,-0.653,-0.056,0.073,0.067,230.0,3.0
61,61.0,2.276,0.025,-0.368,0.017,0.073,0.095,163.0,3.0
53,53.0,2.098,0.044,-0.615,-0.071,0.053,0.061,138.0,3.0
20,20.0,2.64,0.025,-2.094,0.149,0.046,0.011,157.0,3.0
48,48.0,4.317,0.011,-0.73,0.029,0.011,-0.009,133.0,3.0
77,77.0,1.672,0.025,-1.071,-0.028,-0.004,0.022,229.0,3.0
76,76.0,2.091,0.021,-1.338,0.282,0.01,0.048,228.0,3.0
75,75.0,2.213,0.052,-1.526,-0.111,0.036,0.026,227.0,3.0
74,74.0,1.89,0.018,-1.665,0.129,0.003,0.127,226.0,3.0
73,73.0,2.004,0.029,0.3,-0.002,0.086,0.007,225.0,3.0
43,43.0,2.224,0.055,-0.775,0.081,0.025,0.019,104.0,3.0
88,88.0,1.619,0.064,-0.396,-0.078,0.02,0.159,214.0,3.0
89,89.0,2.001,0.027,-1.056,0.023,0.077,0.015,215.0,3.0
90,90.0,2.691,0.015,-0.88,0.031,-0.039,0.035,216.0,3.0
23,23.0,1.818,0.046,0.208,-0.145,0.05,0.093,160.0,3.0
19,19.0,1.462,0.027,-0.722,0.145,0.002,0.057,124.0,4.0
29,29.0,2.831,0.022,-1.063,0.088,0.125,0.044,146.0,4.0
24,24.0,1.618,0.058,-0.06,-0.049,-0.018,0.024,141.0,4.0
21,21.0,1.88,0.036,-0.343,0.005,0.113,0.031,158.0,4.0
114,114.0,2.656,0.02,-0.015,-0.01,-0.024,0.094,324.0,4.0
110,110.0,2.025,0.015,-0.706,-0.013,-0.004,0.074,320.0,4.0
112,112.0,3.131,0.012,-0.689,0.003,-0.018,0.15,322.0,4.0
58,58.0,2.183,0.015,-0.071,0.022,-0.0,0.058,131.0,4.0
62,62.0,2.547,0.025,-1.216,0.033,0.07,0.117,164.0,4.0
63,63.0,2.053,0.02,-0.68,0.012,0.082,0.079,161.0,4.0
3,3.0,2.962,0.033,-0.977,0.083,-0.008,0.055,112.0,4.0
49,49.0,2.207,0.02,-0.671,-0.044,-0.027,0.091,134.0,4.0
46,46.0,2.976,0.024,-0.623,-0.014,0.012,0.034,107.0,4.0
91,91.0,2.364,0.023,-0.553,-0.051,0.075,0.017,301.0,4.0
92,92.0,4.323,0.011,-0.622,0.037,0.037,-0.114,302.0,4.0
93,93.0,2.789,0.011,-0.751,-0.101,0.017,0.006,303.0,4.0
94,94.0,3.373,0.011,-0.867,-0.076,-0.03,0.036,304.0,4.0
113,113.0,2.022,0.019,-0.285,0.038,-0.041,-0.017,323.0,4.0
95,95.0,3.328,0.035,-0.284,-0.066,0.039,0.025,305.0,4.0
97,97.0,2.079,0.03,-0.139,-0.03,0.166,0.081,307.0,4.0
98,98.0,3.512,0.013,-0.182,-0.06,0.082,0.003,308.0,4.0
14,14.0,1.9,0.02,-0.301,-0.001,0.013,0.097,119.0,4.0
36,36.0,2.014,0.046,-1.333,0.141,0.047,0.032,153.0,4.0
107,107.0,3.55,0.006,-0.575,0.07,-0.009,-0.031,317.0,4.0
108,108.0,2.605,0.021,-1.046,0.111,0.004,0.069,318.0,4.0
109,109.0,2.746,0.014,-0.544,-0.012,0.08,0.119,319.0,4.0
111,111.0,4.345,0.01,-0.43,0.07,0.018,0.113,321.0,4.0
96,96.0,2.078,0.015,-0.184,0.012,-0.058,-0.018,306.0,4.0
9,9.0,2.127,0.022,-1.035,-0.011,0.059,0.036,126.0,5.0
8,8.0,1.75,0.029,-1.293,0.112,0.044,0.124,125.0,5.0
4,4.0,2.135,0.024,-0.508,-0.082,0.062,0.02,113.0,5.0
5,5.0,2.688,0.024,-1.105,-0.043,0.012,0.071,114.0,5.0
1,1.0,1.614,0.036,-0.897,-0.013,0.064,0.073,110.0,5.0
12,12.0,2.51,0.025,-0.831,0.154,0.067,0.106,117.0,5.0
56,56.0,2.505,0.019,-0.666,0.185,0.077,0.045,129.0,5.0
16,16.0,1.807,0.049,-0.277,0.056,0.049,0.121,121.0,5.0
57,57.0,2.192,0.033,-0.234,-0.066,0.073,0.039,130.0,5.0
54,54.0,3.138,0.014,-1.453,0.049,0.053,0.158,139.0,5.0
51,51.0,2.569,0.076,-0.268,0.082,0.041,0.113,136.0,5.0
50,50.0,2.765,0.031,-0.8,0.149,0.037,0.15,135.0,5.0
45,45.0,3.585,0.012,-0.804,-0.065,0.001,0.079,106.0,5.0
44,44.0,1.978,0.032,-0.463,-0.135,0.01,0.056,105.0,5.0
41,41.0,3.344,0.02,-1.103,-0.037,-0.012,0.064,102.0,5.0
40,40.0,2.22,0.056,-1.06,0.019,0.035,0.091,101.0,5.0
13,13.0,3.125,0.014,-0.8,0.087,0.034,0.074,118.0,5.0
39,39.0,1.823,0.022,-1.096,0.101,0.047,0.12,156.0,5.0
35,35.0,1.601,0.066,-0.668,0.168,0.065,0.145,152.0,5.0
34,34.0,3.481,0.028,-1.087,0.222,0.104,0.056,151.0,5.0
55,55.0,2.137,0.032,-1.339,0.015,0.048,0.085,140.0,5.0
31,31.0,2.842,0.024,-0.38,-0.107,-0.0,0.081,148.0,5.0
30,30.0,5.821,0.084,0.067,0.091,0.078,0.039,147.0,5.0
27,27.0,1.356,0.028,-0.39,-0.03,-0.02,0.076,144.0,5.0
26,26.0,3.415,0.007,0.069,-0.001,-0.032,0.071,143.0,5.0
17,17.0,2.92,0.131,0.22,-0.024,0.051,0.097,122.0,5.0
38,38.0,2.378,0.095,-0.63,0.054,0.115,0.085,155.0,5.0
0,0.0,3.919,0.027,-0.091,0.164,0.058,0.074,109.0,5.0
